ID;Código;Descrição;Unidade;NCM;Origem;Preço;Valor IPI fixo;Observações;Situação;Estoque;Preço de custo;Cód no fornecedor;Fornecedor;Localização;Estoque maximo;Estoque minimo;Peso líquido (Kg);Peso bruto (Kg);GTIN/EAN;GTIN/EAN da embalagem;Largura do Produto;Altura do Produto;Profundidade do produto;Data Validade;Descrição do Produto no Fornecedor;Descrição Complementar;Unidade por Caixa;Produto Variação;Tipo Produção;Classe de enquadramento do IPI;Código da lista de serviços;Tipo do item;Grupo de Tags/Tags;Tributos;Código Pai;Código Integração;Grupo de produtos;Marca;CEST;Volumes;Descrição Curta;Cross-Docking;URL Imagens Externas;Link Externo;Meses Garantia no Fornecedor;Clonar dados do pai;Condição do produto;Frete Grátis;Número FCI;Vídeo;Departamento;Unidade de medida;Preço de compra;Valor base ICMS ST para retenção;Valor ICMS ST para retenção;Valor ICMS próprio do substituto;Categoria do produto;Informações Adicionais;
;LADYLU-P68-COMRESINA;"Pulseira Articulada Feminina e Masculina Com Resina 68MM LadyLu";UN;7117;0;46.93;0,00;;Ativo;500;46.93;;;;0,00;0,00;0,100;0,100;;;19.00;5.00;19.00;;;;1,00;Produto;Própria;;;;Grupo:MDK-LADYLU;0,00;;0;;LADY LU;;1;Sobressaia-se com a Pulseira Articulada Feminina e Masculina Com Resina 68MM LadyLu. A joia possui acabamento impecável e produzida com material de alta qualidade. O modelo do fechamento dessa pulseira articulada confere a peça segurança e um design  moderno e cheio de estilo. Detalhes sobre as medidas da peça podem ser encontrados nas fotos do anuncio. ;0;https://calcecomestilo.com/image/MKTPLACE/LADYLU/PULSEIRAS/LADYLU-P68-COMRESINA/pulseira-articulada-feminina-e-masculina-com-resina-68mm-ladylu_3.jpg|https://calcecomestilo.com/image/MKTPLACE/LADYLU/PULSEIRAS/LADYLU-P68-COMRESINA/pulseira-articulada-feminina-e-masculina-com-resina-68mm-ladylu_5.jpg|https://calcecomestilo.com/image/MKTPLACE/LADYLU/PULSEIRAS/LADYLU-P68-COMRESINA/pulseira-articulada-feminina-e-masculina-com-resina-68mm-ladylu_7.jpg|https://calcecomestilo.com/image/MKTPLACE/LADYLU/PULSEIRAS/LADYLU-P68-COMRESINA/pulseira-articulada-feminina-e-masculina-com-resina-68mm-ladylu_9.jpg|https://calcecomestilo.com/image/MKTPLACE/LADYLU/PULSEIRAS/LADYLU-P68-COMRESINA/pulseira-articulada-feminina-e-masculina-com-resina-68mm-ladylu_11.jpg|https://calcecomestilo.com/image/MKTPLACE/LADYLU/PULSEIRAS/LADYLU-P68-COMRESINA/pulseira-articulada-feminina-e-masculina-com-resina-68mm-ladylu_13.jpg|https://calcecomestilo.com/image/MKTPLACE/LADYLU/PULSEIRAS/LADYLU-P68-COMRESINA/pulseira-articulada-feminina-e-masculina-com-resina-68mm-ladylu_15.jpg|https://calcecomestilo.com/image/MKTPLACE/LADYLU/PULSEIRAS/LADYLU-P68-COMRESINA/pulseira-articulada-feminina-e-masculina-com-resina-68mm-ladylu_0.jpg|https://calcecomestilo.com/image/MKTPLACE/LADYLU/PULSEIRAS/LADYLU-P68-COMRESINA/pulseira-articulada-feminina-e-masculina-com-resina-68mm-ladylu_1.jpg;;0;NÃO;NOVO;NÃO;;;;Metros;0,00;0,0000;0,0000;0,0000;;dd;
;LADYLU-P68-COMRESINA-V-AZUL;"Cor:Azul;Tamanho:Único;Gênero:Unissex";UN;7117;0;46.93;0,00;;Ativo;500;46.93;;;;0,00;0,00;0,100;0,100;;;19.00;5.00;19.00;;;;1,00;Produto;Própria;;;;Grupo:MDK-LADYLU;0,00;LADYLU-P68-COMRESINA;0;;LADY LU;;1;Sobressaia-se com a Pulseira Articulada Feminina e Masculina Com Resina 68MM LadyLu. A joia possui acabamento impecável e produzida com material de alta qualidade. O modelo do fechamento dessa pulseira articulada confere a peça segurança e um design  moderno e cheio de estilo. Detalhes sobre as medidas da peça podem ser encontrados nas fotos do anuncio. ;0;https://calcecomestilo.com/image/MKTPLACE/LADYLU/PULSEIRAS/LADYLU-P68-COMRESINA/pulseira-articulada-feminina-e-masculina-com-resina-68mm-ladylu_3.jpg|https://calcecomestilo.com/image/MKTPLACE/LADYLU/PULSEIRAS/LADYLU-P68-COMRESINA/pulseira-articulada-feminina-e-masculina-com-resina-68mm-ladylu_0.jpg|https://calcecomestilo.com/image/MKTPLACE/LADYLU/PULSEIRAS/LADYLU-P68-COMRESINA/pulseira-articulada-feminina-e-masculina-com-resina-68mm-ladylu_1.jpg|https://calcecomestilo.com/image/MKTPLACE/LADYLU/PULSEIRAS/LADYLU-P68-COMRESINA/pulseira-articulada-feminina-e-masculina-com-resina-68mm-ladylu_2.jpg;;0;NÃO;NOVO;NÃO;;;;Metros;0,00;0,0000;0,0000;0,0000;;dd;
;LADYLU-P68-COMRESINA-AZUL;"Pulseira Articulada Feminina e Masculina Com Resina Azul 68MM LadyLu";UN;7117;0;46.93;0,00;;Ativo;500;46.93;;;;0,00;0,00;0,100;0,100;;;19.00;5.00;19.00;;;;1,00;Produto;Própria;;;;Grupo:MDK-LADYLU;0,00;;0;;LADY LU;;1;Sobressaia-se com a Pulseira Articulada Feminina e Masculina Com Resina 68MM LadyLu. A joia possui acabamento impecável e produzida com material de alta qualidade. O modelo do fechamento dessa pulseira articulada confere a peça segurança e um design  moderno e cheio de estilo. Detalhes sobre as medidas da peça podem ser encontrados nas fotos do anuncio. ;0;https://calcecomestilo.com/image/MKTPLACE/LADYLU/PULSEIRAS/LADYLU-P68-COMRESINA/pulseira-articulada-feminina-e-masculina-com-resina-68mm-ladylu_3.jpg|https://calcecomestilo.com/image/MKTPLACE/LADYLU/PULSEIRAS/LADYLU-P68-COMRESINA/pulseira-articulada-feminina-e-masculina-com-resina-68mm-ladylu_0.jpg|https://calcecomestilo.com/image/MKTPLACE/LADYLU/PULSEIRAS/LADYLU-P68-COMRESINA/pulseira-articulada-feminina-e-masculina-com-resina-68mm-ladylu_1.jpg|https://calcecomestilo.com/image/MKTPLACE/LADYLU/PULSEIRAS/LADYLU-P68-COMRESINA/pulseira-articulada-feminina-e-masculina-com-resina-68mm-ladylu_2.jpg;;0;NÃO;NOVO;NÃO;;;;Metros;0,00;0,0000;0,0000;0,0000;;dd;
;LADYLU-P68-COMRESINA-V-BRANCO;"Cor:Branco;Tamanho:Único;Gênero:Unissex";UN;7117;0;46.93;0,00;;Ativo;500;46.93;;;;0,00;0,00;0,100;0,100;;;19.00;5.00;19.00;;;;1,00;Produto;Própria;;;;Grupo:MDK-LADYLU;0,00;LADYLU-P68-COMRESINA;0;;LADY LU;;1;Sobressaia-se com a Pulseira Articulada Feminina e Masculina Com Resina 68MM LadyLu. A joia possui acabamento impecável e produzida com material de alta qualidade. O modelo do fechamento dessa pulseira articulada confere a peça segurança e um design  moderno e cheio de estilo. Detalhes sobre as medidas da peça podem ser encontrados nas fotos do anuncio. ;0;https://calcecomestilo.com/image/MKTPLACE/LADYLU/PULSEIRAS/LADYLU-P68-COMRESINA/pulseira-articulada-feminina-e-masculina-com-resina-68mm-ladylu_5.jpg|https://calcecomestilo.com/image/MKTPLACE/LADYLU/PULSEIRAS/LADYLU-P68-COMRESINA/pulseira-articulada-feminina-e-masculina-com-resina-68mm-ladylu_0.jpg|https://calcecomestilo.com/image/MKTPLACE/LADYLU/PULSEIRAS/LADYLU-P68-COMRESINA/pulseira-articulada-feminina-e-masculina-com-resina-68mm-ladylu_1.jpg|https://calcecomestilo.com/image/MKTPLACE/LADYLU/PULSEIRAS/LADYLU-P68-COMRESINA/pulseira-articulada-feminina-e-masculina-com-resina-68mm-ladylu_4.jpg;;0;NÃO;NOVO;NÃO;;;;Metros;0,00;0,0000;0,0000;0,0000;;dd;
;LADYLU-P68-COMRESINA-BRANCO;"Pulseira Articulada Feminina e Masculina Com Resina Branco 68MM LadyLu";UN;7117;0;46.93;0,00;;Ativo;500;46.93;;;;0,00;0,00;0,100;0,100;;;19.00;5.00;19.00;;;;1,00;Produto;Própria;;;;Grupo:MDK-LADYLU;0,00;;0;;LADY LU;;1;Sobressaia-se com a Pulseira Articulada Feminina e Masculina Com Resina 68MM LadyLu. A joia possui acabamento impecável e produzida com material de alta qualidade. O modelo do fechamento dessa pulseira articulada confere a peça segurança e um design  moderno e cheio de estilo. Detalhes sobre as medidas da peça podem ser encontrados nas fotos do anuncio. ;0;https://calcecomestilo.com/image/MKTPLACE/LADYLU/PULSEIRAS/LADYLU-P68-COMRESINA/pulseira-articulada-feminina-e-masculina-com-resina-68mm-ladylu_5.jpg|https://calcecomestilo.com/image/MKTPLACE/LADYLU/PULSEIRAS/LADYLU-P68-COMRESINA/pulseira-articulada-feminina-e-masculina-com-resina-68mm-ladylu_0.jpg|https://calcecomestilo.com/image/MKTPLACE/LADYLU/PULSEIRAS/LADYLU-P68-COMRESINA/pulseira-articulada-feminina-e-masculina-com-resina-68mm-ladylu_1.jpg|https://calcecomestilo.com/image/MKTPLACE/LADYLU/PULSEIRAS/LADYLU-P68-COMRESINA/pulseira-articulada-feminina-e-masculina-com-resina-68mm-ladylu_4.jpg;;0;NÃO;NOVO;NÃO;;;;Metros;0,00;0,0000;0,0000;0,0000;;dd;
;LADYLU-P68-COMRESINA-V-PEROLA;"Cor:Bege;Tamanho:Único;Gênero:Unissex";UN;7117;0;46.93;0,00;;Ativo;500;46.93;;;;0,00;0,00;0,100;0,100;;;19.00;5.00;19.00;;;;1,00;Produto;Própria;;;;Grupo:MDK-LADYLU;0,00;LADYLU-P68-COMRESINA;0;;LADY LU;;1;Sobressaia-se com a Pulseira Articulada Feminina e Masculina Com Resina 68MM LadyLu. A joia possui acabamento impecável e produzida com material de alta qualidade. O modelo do fechamento dessa pulseira articulada confere a peça segurança e um design  moderno e cheio de estilo. Detalhes sobre as medidas da peça podem ser encontrados nas fotos do anuncio. ;0;https://calcecomestilo.com/image/MKTPLACE/LADYLU/PULSEIRAS/LADYLU-P68-COMRESINA/pulseira-articulada-feminina-e-masculina-com-resina-68mm-ladylu_7.jpg|https://calcecomestilo.com/image/MKTPLACE/LADYLU/PULSEIRAS/LADYLU-P68-COMRESINA/pulseira-articulada-feminina-e-masculina-com-resina-68mm-ladylu_0.jpg|https://calcecomestilo.com/image/MKTPLACE/LADYLU/PULSEIRAS/LADYLU-P68-COMRESINA/pulseira-articulada-feminina-e-masculina-com-resina-68mm-ladylu_1.jpg|https://calcecomestilo.com/image/MKTPLACE/LADYLU/PULSEIRAS/LADYLU-P68-COMRESINA/pulseira-articulada-feminina-e-masculina-com-resina-68mm-ladylu_6.jpg;;0;NÃO;NOVO;NÃO;;;;Metros;0,00;0,0000;0,0000;0,0000;;dd;
;LADYLU-P68-COMRESINA-PEROLA;"Pulseira Articulada Feminina e Masculina Com Resina Perola 68MM LadyLu";UN;7117;0;46.93;0,00;;Ativo;500;46.93;;;;0,00;0,00;0,100;0,100;;;19.00;5.00;19.00;;;;1,00;Produto;Própria;;;;Grupo:MDK-LADYLU;0,00;;0;;LADY LU;;1;Sobressaia-se com a Pulseira Articulada Feminina e Masculina Com Resina 68MM LadyLu. A joia possui acabamento impecável e produzida com material de alta qualidade. O modelo do fechamento dessa pulseira articulada confere a peça segurança e um design  moderno e cheio de estilo. Detalhes sobre as medidas da peça podem ser encontrados nas fotos do anuncio. ;0;https://calcecomestilo.com/image/MKTPLACE/LADYLU/PULSEIRAS/LADYLU-P68-COMRESINA/pulseira-articulada-feminina-e-masculina-com-resina-68mm-ladylu_7.jpg|https://calcecomestilo.com/image/MKTPLACE/LADYLU/PULSEIRAS/LADYLU-P68-COMRESINA/pulseira-articulada-feminina-e-masculina-com-resina-68mm-ladylu_0.jpg|https://calcecomestilo.com/image/MKTPLACE/LADYLU/PULSEIRAS/LADYLU-P68-COMRESINA/pulseira-articulada-feminina-e-masculina-com-resina-68mm-ladylu_1.jpg|https://calcecomestilo.com/image/MKTPLACE/LADYLU/PULSEIRAS/LADYLU-P68-COMRESINA/pulseira-articulada-feminina-e-masculina-com-resina-68mm-ladylu_6.jpg;;0;NÃO;NOVO;NÃO;;;;Metros;0,00;0,0000;0,0000;0,0000;;dd;
;LADYLU-P68-COMRESINA-V-PRETO;"Cor:Preto;Tamanho:Único;Gênero:Unissex";UN;7117;0;46.93;0,00;;Ativo;500;46.93;;;;0,00;0,00;0,100;0,100;;;19.00;5.00;19.00;;;;1,00;Produto;Própria;;;;Grupo:MDK-LADYLU;0,00;LADYLU-P68-COMRESINA;0;;LADY LU;;1;Sobressaia-se com a Pulseira Articulada Feminina e Masculina Com Resina 68MM LadyLu. A joia possui acabamento impecável e produzida com material de alta qualidade. O modelo do fechamento dessa pulseira articulada confere a peça segurança e um design  moderno e cheio de estilo. Detalhes sobre as medidas da peça podem ser encontrados nas fotos do anuncio. ;0;https://calcecomestilo.com/image/MKTPLACE/LADYLU/PULSEIRAS/LADYLU-P68-COMRESINA/pulseira-articulada-feminina-e-masculina-com-resina-68mm-ladylu_9.jpg|https://calcecomestilo.com/image/MKTPLACE/LADYLU/PULSEIRAS/LADYLU-P68-COMRESINA/pulseira-articulada-feminina-e-masculina-com-resina-68mm-ladylu_0.jpg|https://calcecomestilo.com/image/MKTPLACE/LADYLU/PULSEIRAS/LADYLU-P68-COMRESINA/pulseira-articulada-feminina-e-masculina-com-resina-68mm-ladylu_1.jpg|https://calcecomestilo.com/image/MKTPLACE/LADYLU/PULSEIRAS/LADYLU-P68-COMRESINA/pulseira-articulada-feminina-e-masculina-com-resina-68mm-ladylu_8.jpg;;0;NÃO;NOVO;NÃO;;;;Metros;0,00;0,0000;0,0000;0,0000;;dd;
;LADYLU-P68-COMRESINA-PRETO;"Pulseira Articulada Feminina e Masculina Com Resina Preto 68MM LadyLu";UN;7117;0;46.93;0,00;;Ativo;500;46.93;;;;0,00;0,00;0,100;0,100;;;19.00;5.00;19.00;;;;1,00;Produto;Própria;;;;Grupo:MDK-LADYLU;0,00;;0;;LADY LU;;1;Sobressaia-se com a Pulseira Articulada Feminina e Masculina Com Resina 68MM LadyLu. A joia possui acabamento impecável e produzida com material de alta qualidade. O modelo do fechamento dessa pulseira articulada confere a peça segurança e um design  moderno e cheio de estilo. Detalhes sobre as medidas da peça podem ser encontrados nas fotos do anuncio. ;0;https://calcecomestilo.com/image/MKTPLACE/LADYLU/PULSEIRAS/LADYLU-P68-COMRESINA/pulseira-articulada-feminina-e-masculina-com-resina-68mm-ladylu_9.jpg|https://calcecomestilo.com/image/MKTPLACE/LADYLU/PULSEIRAS/LADYLU-P68-COMRESINA/pulseira-articulada-feminina-e-masculina-com-resina-68mm-ladylu_0.jpg|https://calcecomestilo.com/image/MKTPLACE/LADYLU/PULSEIRAS/LADYLU-P68-COMRESINA/pulseira-articulada-feminina-e-masculina-com-resina-68mm-ladylu_1.jpg|https://calcecomestilo.com/image/MKTPLACE/LADYLU/PULSEIRAS/LADYLU-P68-COMRESINA/pulseira-articulada-feminina-e-masculina-com-resina-68mm-ladylu_8.jpg;;0;NÃO;NOVO;NÃO;;;;Metros;0,00;0,0000;0,0000;0,0000;;dd;
;LADYLU-P68-COMRESINA-V-ROSA;"Cor:Rosa;Tamanho:Único;Gênero:Unissex";UN;7117;0;46.93;0,00;;Ativo;500;46.93;;;;0,00;0,00;0,100;0,100;;;19.00;5.00;19.00;;;;1,00;Produto;Própria;;;;Grupo:MDK-LADYLU;0,00;LADYLU-P68-COMRESINA;0;;LADY LU;;1;Sobressaia-se com a Pulseira Articulada Feminina e Masculina Com Resina 68MM LadyLu. A joia possui acabamento impecável e produzida com material de alta qualidade. O modelo do fechamento dessa pulseira articulada confere a peça segurança e um design  moderno e cheio de estilo. Detalhes sobre as medidas da peça podem ser encontrados nas fotos do anuncio. ;0;https://calcecomestilo.com/image/MKTPLACE/LADYLU/PULSEIRAS/LADYLU-P68-COMRESINA/pulseira-articulada-feminina-e-masculina-com-resina-68mm-ladylu_11.jpg|https://calcecomestilo.com/image/MKTPLACE/LADYLU/PULSEIRAS/LADYLU-P68-COMRESINA/pulseira-articulada-feminina-e-masculina-com-resina-68mm-ladylu_0.jpg|https://calcecomestilo.com/image/MKTPLACE/LADYLU/PULSEIRAS/LADYLU-P68-COMRESINA/pulseira-articulada-feminina-e-masculina-com-resina-68mm-ladylu_1.jpg|https://calcecomestilo.com/image/MKTPLACE/LADYLU/PULSEIRAS/LADYLU-P68-COMRESINA/pulseira-articulada-feminina-e-masculina-com-resina-68mm-ladylu_10.jpg;;0;NÃO;NOVO;NÃO;;;;Metros;0,00;0,0000;0,0000;0,0000;;dd;
