ID;Código;Descrição;Unidade;NCM;Origem;Preço;Valor IPI fixo;Observações;Situação;Estoque;Preço de custo;Cód no fornecedor;Fornecedor;Localização;Estoque maximo;Estoque minimo;Peso líquido (Kg);Peso bruto (Kg);GTIN/EAN;GTIN/EAN da embalagem;Largura do Produto;Altura do Produto;Profundidade do produto;Data Validade;Descrição do Produto no Fornecedor;Descrição Complementar;Unidade por Caixa;Produto Variação;Tipo Produção;Classe de enquadramento do IPI;Código da lista de serviços;Tipo do item;Grupo de Tags/Tags;Tributos;Código Pai;Código Integração;Grupo de produtos;Marca;CEST;Volumes;Descrição Curta;Cross-Docking;URL Imagens Externas;Link Externo;Meses Garantia no Fornecedor;Clonar dados do pai;Condição do produto;Frete Grátis;Número FCI;Vídeo;Departamento;Unidade de medida;Preço de compra;Valor base ICMS ST para retenção;Valor ICMS ST para retenção;Valor ICMS próprio do substituto;Categoria do produto;Informações Adicionais;
;CA-2113F;"Bota Feminina Trabalho em Couro com Palmilha em GEL Forte Resistente e Confortável CA-2113F";UN;6405.10.10;0;84;0,00;;Ativo;500;84;;;;0,00;0,00;1;1;;;19;16;;;;;1,00;Produto;Própria;;;;Grupo:MDK-CAT;0,00;;0;;Calce Com Estilo;;1;"Bota Fermina Trabalho em Couro com Palmilha em GEL Forte Resistente e Confortável CA-2113F é robusta confortável e durável
Indicado para atividade profissional, segurança, militar e adventure
Palmilha em GEL com ajuste anatômico, Absorve o impacto e Confere conforto para o dia-a-dia
Forro de malha de náilon macio e respirável
Forro do colarinho em microfibra respirável e macio
Sola exterior de borracha durável e com perfeita tração";3;;;0;NÃO;NOVO;NÃO;;;;Metros;0,00;0,0000;0,0000;0,0000;;;
;CA-2113F-V-C-Rosa-T34;"Cor:Rosa;Tamanho:34;Gênero:Feminino";UN;6405.10.10;0;84;0,00;;Ativo;500;84;;;;0,00;0,00;1;1;;;19;16;;;;;1,00;Produto;Própria;;;;Grupo:MDK-CAT;0,00;CA-2113F;0;;Calce Com Estilo;;1;"Bota Fermina Trabalho em Couro com Palmilha em GEL Forte Resistente e Confortável CA-2113F é robusta confortável e durável
Indicado para atividade profissional, segurança, militar e adventure
Palmilha em GEL com ajuste anatômico, Absorve o impacto e Confere conforto para o dia-a-dia
Forro de malha de náilon macio e respirável
Forro do colarinho em microfibra respirável e macio
Sola exterior de borracha durável e com perfeita tração";3;https://calcecomestilo.com/image/MKTPLACE/CAT/CA-2113F/bota-feminina-trabalho-em-couro-com-palmilha-em-gel-forte-resistente-e-confortavel-ca-2113f_0.jpg|https://calcecomestilo.com/image/MKTPLACE/CAT/CA-2113F/bota-feminina-trabalho-em-couro-com-palmilha-em-gel-forte-resistente-e-confortavel-ca-2113f_1.jpg|https://calcecomestilo.com/image/MKTPLACE/CAT/CA-2113F/bota-feminina-trabalho-em-couro-com-palmilha-em-gel-forte-resistente-e-confortavel-ca-2113f_2.jpg|https://calcecomestilo.com/image/MKTPLACE/CAT/CA-2113F/bota-feminina-trabalho-em-couro-com-palmilha-em-gel-forte-resistente-e-confortavel-ca-2113f_3.jpg;;0;NÃO;NOVO;NÃO;;;;Metros;0,00;0,0000;0,0000;0,0000;;;
;CA-2113F-V-C-Rosa-T35;"Cor:Rosa;Tamanho:35;Gênero:Feminino";UN;6405.10.10;0;84;0,00;;Ativo;500;84;;;;0,00;0,00;1;1;;;19;16;;;;;1,00;Produto;Própria;;;;Grupo:MDK-CAT;0,00;CA-2113F;0;;Calce Com Estilo;;1;"Bota Fermina Trabalho em Couro com Palmilha em GEL Forte Resistente e Confortável CA-2113F é robusta confortável e durável
Indicado para atividade profissional, segurança, militar e adventure
Palmilha em GEL com ajuste anatômico, Absorve o impacto e Confere conforto para o dia-a-dia
Forro de malha de náilon macio e respirável
Forro do colarinho em microfibra respirável e macio
Sola exterior de borracha durável e com perfeita tração";3;https://calcecomestilo.com/image/MKTPLACE/CAT/CA-2113F/bota-feminina-trabalho-em-couro-com-palmilha-em-gel-forte-resistente-e-confortavel-ca-2113f_0.jpg|https://calcecomestilo.com/image/MKTPLACE/CAT/CA-2113F/bota-feminina-trabalho-em-couro-com-palmilha-em-gel-forte-resistente-e-confortavel-ca-2113f_1.jpg|https://calcecomestilo.com/image/MKTPLACE/CAT/CA-2113F/bota-feminina-trabalho-em-couro-com-palmilha-em-gel-forte-resistente-e-confortavel-ca-2113f_2.jpg|https://calcecomestilo.com/image/MKTPLACE/CAT/CA-2113F/bota-feminina-trabalho-em-couro-com-palmilha-em-gel-forte-resistente-e-confortavel-ca-2113f_3.jpg;;0;NÃO;NOVO;NÃO;;;;Metros;0,00;0,0000;0,0000;0,0000;;;
;CA-2113F-V-C-Rosa-T36;"Cor:Rosa;Tamanho:36;Gênero:Feminino";UN;6405.10.10;0;84;0,00;;Ativo;500;84;;;;0,00;0,00;1;1;;;19;16;;;;;1,00;Produto;Própria;;;;Grupo:MDK-CAT;0,00;CA-2113F;0;;Calce Com Estilo;;1;"Bota Fermina Trabalho em Couro com Palmilha em GEL Forte Resistente e Confortável CA-2113F é robusta confortável e durável
Indicado para atividade profissional, segurança, militar e adventure
Palmilha em GEL com ajuste anatômico, Absorve o impacto e Confere conforto para o dia-a-dia
Forro de malha de náilon macio e respirável
Forro do colarinho em microfibra respirável e macio
Sola exterior de borracha durável e com perfeita tração";3;https://calcecomestilo.com/image/MKTPLACE/CAT/CA-2113F/bota-feminina-trabalho-em-couro-com-palmilha-em-gel-forte-resistente-e-confortavel-ca-2113f_0.jpg|https://calcecomestilo.com/image/MKTPLACE/CAT/CA-2113F/bota-feminina-trabalho-em-couro-com-palmilha-em-gel-forte-resistente-e-confortavel-ca-2113f_1.jpg|https://calcecomestilo.com/image/MKTPLACE/CAT/CA-2113F/bota-feminina-trabalho-em-couro-com-palmilha-em-gel-forte-resistente-e-confortavel-ca-2113f_2.jpg|https://calcecomestilo.com/image/MKTPLACE/CAT/CA-2113F/bota-feminina-trabalho-em-couro-com-palmilha-em-gel-forte-resistente-e-confortavel-ca-2113f_3.jpg;;0;NÃO;NOVO;NÃO;;;;Metros;0,00;0,0000;0,0000;0,0000;;;
;CA-2113F-V-C-Rosa-T37;"Cor:Rosa;Tamanho:37;Gênero:Feminino";UN;6405.10.10;0;84;0,00;;Ativo;500;84;;;;0,00;0,00;1;1;;;19;16;;;;;1,00;Produto;Própria;;;;Grupo:MDK-CAT;0,00;CA-2113F;0;;Calce Com Estilo;;1;"Bota Fermina Trabalho em Couro com Palmilha em GEL Forte Resistente e Confortável CA-2113F é robusta confortável e durável
Indicado para atividade profissional, segurança, militar e adventure
Palmilha em GEL com ajuste anatômico, Absorve o impacto e Confere conforto para o dia-a-dia
Forro de malha de náilon macio e respirável
Forro do colarinho em microfibra respirável e macio
Sola exterior de borracha durável e com perfeita tração";3;https://calcecomestilo.com/image/MKTPLACE/CAT/CA-2113F/bota-feminina-trabalho-em-couro-com-palmilha-em-gel-forte-resistente-e-confortavel-ca-2113f_0.jpg|https://calcecomestilo.com/image/MKTPLACE/CAT/CA-2113F/bota-feminina-trabalho-em-couro-com-palmilha-em-gel-forte-resistente-e-confortavel-ca-2113f_1.jpg|https://calcecomestilo.com/image/MKTPLACE/CAT/CA-2113F/bota-feminina-trabalho-em-couro-com-palmilha-em-gel-forte-resistente-e-confortavel-ca-2113f_2.jpg|https://calcecomestilo.com/image/MKTPLACE/CAT/CA-2113F/bota-feminina-trabalho-em-couro-com-palmilha-em-gel-forte-resistente-e-confortavel-ca-2113f_3.jpg;;0;NÃO;NOVO;NÃO;;;;Metros;0,00;0,0000;0,0000;0,0000;;;
;CA-2113F-V-C-Rosa-T38;"Cor:Rosa;Tamanho:38;Gênero:Feminino";UN;6405.10.10;0;84;0,00;;Ativo;500;84;;;;0,00;0,00;1;1;;;19;16;;;;;1,00;Produto;Própria;;;;Grupo:MDK-CAT;0,00;CA-2113F;0;;Calce Com Estilo;;1;"Bota Fermina Trabalho em Couro com Palmilha em GEL Forte Resistente e Confortável CA-2113F é robusta confortável e durável
Indicado para atividade profissional, segurança, militar e adventure
Palmilha em GEL com ajuste anatômico, Absorve o impacto e Confere conforto para o dia-a-dia
Forro de malha de náilon macio e respirável
Forro do colarinho em microfibra respirável e macio
Sola exterior de borracha durável e com perfeita tração";3;https://calcecomestilo.com/image/MKTPLACE/CAT/CA-2113F/bota-feminina-trabalho-em-couro-com-palmilha-em-gel-forte-resistente-e-confortavel-ca-2113f_0.jpg|https://calcecomestilo.com/image/MKTPLACE/CAT/CA-2113F/bota-feminina-trabalho-em-couro-com-palmilha-em-gel-forte-resistente-e-confortavel-ca-2113f_1.jpg|https://calcecomestilo.com/image/MKTPLACE/CAT/CA-2113F/bota-feminina-trabalho-em-couro-com-palmilha-em-gel-forte-resistente-e-confortavel-ca-2113f_2.jpg|https://calcecomestilo.com/image/MKTPLACE/CAT/CA-2113F/bota-feminina-trabalho-em-couro-com-palmilha-em-gel-forte-resistente-e-confortavel-ca-2113f_3.jpg;;0;NÃO;NOVO;NÃO;;;;Metros;0,00;0,0000;0,0000;0,0000;;;
;CA-2113F-V-C-Rosa-T39;"Cor:Rosa;Tamanho:39;Gênero:Feminino";UN;6405.10.10;0;84;0,00;;Ativo;500;84;;;;0,00;0,00;1;1;;;19;16;;;;;1,00;Produto;Própria;;;;Grupo:MDK-CAT;0,00;CA-2113F;0;;Calce Com Estilo;;1;"Bota Fermina Trabalho em Couro com Palmilha em GEL Forte Resistente e Confortável CA-2113F é robusta confortável e durável
Indicado para atividade profissional, segurança, militar e adventure
Palmilha em GEL com ajuste anatômico, Absorve o impacto e Confere conforto para o dia-a-dia
Forro de malha de náilon macio e respirável
Forro do colarinho em microfibra respirável e macio
Sola exterior de borracha durável e com perfeita tração";3;https://calcecomestilo.com/image/MKTPLACE/CAT/CA-2113F/bota-feminina-trabalho-em-couro-com-palmilha-em-gel-forte-resistente-e-confortavel-ca-2113f_0.jpg|https://calcecomestilo.com/image/MKTPLACE/CAT/CA-2113F/bota-feminina-trabalho-em-couro-com-palmilha-em-gel-forte-resistente-e-confortavel-ca-2113f_1.jpg|https://calcecomestilo.com/image/MKTPLACE/CAT/CA-2113F/bota-feminina-trabalho-em-couro-com-palmilha-em-gel-forte-resistente-e-confortavel-ca-2113f_2.jpg|https://calcecomestilo.com/image/MKTPLACE/CAT/CA-2113F/bota-feminina-trabalho-em-couro-com-palmilha-em-gel-forte-resistente-e-confortavel-ca-2113f_3.jpg;;0;NÃO;NOVO;NÃO;;;;Metros;0,00;0,0000;0,0000;0,0000;;;
;CA-2113F-V-C-Bege-T34;"Cor:Bege;Tamanho:34;Gênero:Feminino";UN;6405.10.10;0;84;0,00;;Ativo;500;84;;;;0,00;0,00;1;1;;;19;16;;;;;1,00;Produto;Própria;;;;Grupo:MDK-CAT;0,00;CA-2113F;0;;Calce Com Estilo;;1;"Bota Fermina Trabalho em Couro com Palmilha em GEL Forte Resistente e Confortável CA-2113F é robusta confortável e durável
Indicado para atividade profissional, segurança, militar e adventure
Palmilha em GEL com ajuste anatômico, Absorve o impacto e Confere conforto para o dia-a-dia
Forro de malha de náilon macio e respirável
Forro do colarinho em microfibra respirável e macio
Sola exterior de borracha durável e com perfeita tração";3;https://calcecomestilo.com/image/MKTPLACE/CAT/CA-2113F/bota-feminina-trabalho-em-couro-com-palmilha-em-gel-forte-resistente-e-confortavel-ca-2113f_5.jpg|https://calcecomestilo.com/image/MKTPLACE/CAT/CA-2113F/bota-feminina-trabalho-em-couro-com-palmilha-em-gel-forte-resistente-e-confortavel-ca-2113f_4.jpg|https://calcecomestilo.com/image/MKTPLACE/CAT/CA-2113F/bota-feminina-trabalho-em-couro-com-palmilha-em-gel-forte-resistente-e-confortavel-ca-2113f_6.jpg|https://calcecomestilo.com/image/MKTPLACE/CAT/CA-2113F/bota-feminina-trabalho-em-couro-com-palmilha-em-gel-forte-resistente-e-confortavel-ca-2113f_7.jpg;;0;NÃO;NOVO;NÃO;;;;Metros;0,00;0,0000;0,0000;0,0000;;;
;CA-2113F-V-C-Bege-T35;"Cor:Bege;Tamanho:35;Gênero:Feminino";UN;6405.10.10;0;84;0,00;;Ativo;500;84;;;;0,00;0,00;1;1;;;19;16;;;;;1,00;Produto;Própria;;;;Grupo:MDK-CAT;0,00;CA-2113F;0;;Calce Com Estilo;;1;"Bota Fermina Trabalho em Couro com Palmilha em GEL Forte Resistente e Confortável CA-2113F é robusta confortável e durável
Indicado para atividade profissional, segurança, militar e adventure
Palmilha em GEL com ajuste anatômico, Absorve o impacto e Confere conforto para o dia-a-dia
Forro de malha de náilon macio e respirável
Forro do colarinho em microfibra respirável e macio
Sola exterior de borracha durável e com perfeita tração";3;https://calcecomestilo.com/image/MKTPLACE/CAT/CA-2113F/bota-feminina-trabalho-em-couro-com-palmilha-em-gel-forte-resistente-e-confortavel-ca-2113f_5.jpg|https://calcecomestilo.com/image/MKTPLACE/CAT/CA-2113F/bota-feminina-trabalho-em-couro-com-palmilha-em-gel-forte-resistente-e-confortavel-ca-2113f_4.jpg|https://calcecomestilo.com/image/MKTPLACE/CAT/CA-2113F/bota-feminina-trabalho-em-couro-com-palmilha-em-gel-forte-resistente-e-confortavel-ca-2113f_6.jpg|https://calcecomestilo.com/image/MKTPLACE/CAT/CA-2113F/bota-feminina-trabalho-em-couro-com-palmilha-em-gel-forte-resistente-e-confortavel-ca-2113f_7.jpg;;0;NÃO;NOVO;NÃO;;;;Metros;0,00;0,0000;0,0000;0,0000;;;
;CA-2113F-V-C-Bege-T36;"Cor:Bege;Tamanho:36;Gênero:Feminino";UN;6405.10.10;0;84;0,00;;Ativo;500;84;;;;0,00;0,00;1;1;;;19;16;;;;;1,00;Produto;Própria;;;;Grupo:MDK-CAT;0,00;CA-2113F;0;;Calce Com Estilo;;1;"Bota Fermina Trabalho em Couro com Palmilha em GEL Forte Resistente e Confortável CA-2113F é robusta confortável e durável
Indicado para atividade profissional, segurança, militar e adventure
Palmilha em GEL com ajuste anatômico, Absorve o impacto e Confere conforto para o dia-a-dia
Forro de malha de náilon macio e respirável
Forro do colarinho em microfibra respirável e macio
Sola exterior de borracha durável e com perfeita tração";3;https://calcecomestilo.com/image/MKTPLACE/CAT/CA-2113F/bota-feminina-trabalho-em-couro-com-palmilha-em-gel-forte-resistente-e-confortavel-ca-2113f_5.jpg|https://calcecomestilo.com/image/MKTPLACE/CAT/CA-2113F/bota-feminina-trabalho-em-couro-com-palmilha-em-gel-forte-resistente-e-confortavel-ca-2113f_4.jpg|https://calcecomestilo.com/image/MKTPLACE/CAT/CA-2113F/bota-feminina-trabalho-em-couro-com-palmilha-em-gel-forte-resistente-e-confortavel-ca-2113f_6.jpg|https://calcecomestilo.com/image/MKTPLACE/CAT/CA-2113F/bota-feminina-trabalho-em-couro-com-palmilha-em-gel-forte-resistente-e-confortavel-ca-2113f_7.jpg;;0;NÃO;NOVO;NÃO;;;;Metros;0,00;0,0000;0,0000;0,0000;;;
