ID;Código;Descrição;Unidade;NCM;Origem;Preço;Valor IPI fixo;Observações;Situação;Estoque;Preço de custo;Cód no fornecedor;Fornecedor;Localização;Estoque maximo;Estoque minimo;Peso líquido (Kg);Peso bruto (Kg);GTIN/EAN;GTIN/EAN da embalagem;Largura do Produto;Altura do Produto;Profundidade do produto;Data Validade;Descrição do Produto no Fornecedor;Descrição Complementar;Unidade por Caixa;Produto Variação;Tipo Produção;Classe de enquadramento do IPI;Código da lista de serviços;Tipo do item;Grupo de Tags/Tags;Tributos;Código Pai;Código Integração;Grupo de produtos;Marca;CEST;Volumes;Descrição Curta;Cross-Docking;URL Imagens Externas;Link Externo;Meses Garantia no Fornecedor;Clonar dados do pai;Condição do produto;Frete Grátis;Número FCI;Vídeo;Departamento;Unidade de medida;Preço de compra;Valor base ICMS ST para retenção;Valor ICMS ST para retenção;Valor ICMS próprio do substituto;Categoria do produto;Informações Adicionais;
;CAT-V1;"Bota Aventura CAT 789";UN;6405.10.10;0;199,99;0,00;;Ativo;500;199,99;;;;0,00;0,00;1;1;;;19;16;;;;;1,00;Produto;Própria;;;;Grupo:MDK-CAT;0,00;;0;;Calce Com Estilo;;1;Descição com acentos ;3;https://calcecomestilo.com/image/MKTPLACE/CAT/CAT-V1/bota-aventura-cat-789_1.jpg|https://calcecomestilo.com/image/MKTPLACE/CAT/CAT-V1/bota-aventura-cat-789_7.jpg|https://calcecomestilo.com/image/MKTPLACE/CAT/CAT-V1/bota-aventura-cat-789_15.jpg;;0;NÃO;NOVO;NÃO;;;;Metros;0,00;0,0000;0,0000;0,0000;;;
;CAT-V1-V-C-Preto-T37;"Cor:Preto;Tamanho:37;Gênero:Masculino";UN;6405.10.10;0;199,99;0,00;;Ativo;500;199,99;;;;0,00;0,00;1;1;;;19;16;;;;;1,00;Produto;Própria;;;;Grupo:MDK-CAT;0,00;CAT-V1;0;;Calce Com Estilo;;1;Descição com acentos ;3;https://calcecomestilo.com/image/MKTPLACE/CAT/CAT-V1/bota-aventura-cat-789_1.jpg|https://calcecomestilo.com/image/MKTPLACE/CAT/CAT-V1/bota-aventura-cat-789_3.jpg|https://calcecomestilo.com/image/MKTPLACE/CAT/CAT-V1/bota-aventura-cat-789_2.jpg;;0;NÃO;NOVO;NÃO;;;;Metros;0,00;0,0000;0,0000;0,0000;;;
;CAT-V1-V-C-Preto-T38;"Cor:Preto;Tamanho:38;Gênero:Masculino";UN;6405.10.10;0;199,99;0,00;;Ativo;500;199,99;;;;0,00;0,00;1;1;;;19;16;;;;;1,00;Produto;Própria;;;;Grupo:MDK-CAT;0,00;CAT-V1;0;;Calce Com Estilo;;1;Descição com acentos ;3;https://calcecomestilo.com/image/MKTPLACE/CAT/CAT-V1/bota-aventura-cat-789_1.jpg|https://calcecomestilo.com/image/MKTPLACE/CAT/CAT-V1/bota-aventura-cat-789_3.jpg|https://calcecomestilo.com/image/MKTPLACE/CAT/CAT-V1/bota-aventura-cat-789_2.jpg;;0;NÃO;NOVO;NÃO;;;;Metros;0,00;0,0000;0,0000;0,0000;;;
;CAT-V1-V-C-Preto-T39;"Cor:Preto;Tamanho:39;Gênero:Masculino";UN;6405.10.10;0;199,99;0,00;;Ativo;500;199,99;;;;0,00;0,00;1;1;;;19;16;;;;;1,00;Produto;Própria;;;;Grupo:MDK-CAT;0,00;CAT-V1;0;;Calce Com Estilo;;1;Descição com acentos ;3;https://calcecomestilo.com/image/MKTPLACE/CAT/CAT-V1/bota-aventura-cat-789_1.jpg|https://calcecomestilo.com/image/MKTPLACE/CAT/CAT-V1/bota-aventura-cat-789_3.jpg|https://calcecomestilo.com/image/MKTPLACE/CAT/CAT-V1/bota-aventura-cat-789_2.jpg;;0;NÃO;NOVO;NÃO;;;;Metros;0,00;0,0000;0,0000;0,0000;;;
;CAT-V1-V-C-Preto-T40;"Cor:Preto;Tamanho:40;Gênero:Masculino";UN;6405.10.10;0;199,99;0,00;;Ativo;500;199,99;;;;0,00;0,00;1;1;;;19;16;;;;;1,00;Produto;Própria;;;;Grupo:MDK-CAT;0,00;CAT-V1;0;;Calce Com Estilo;;1;Descição com acentos ;3;https://calcecomestilo.com/image/MKTPLACE/CAT/CAT-V1/bota-aventura-cat-789_1.jpg|https://calcecomestilo.com/image/MKTPLACE/CAT/CAT-V1/bota-aventura-cat-789_3.jpg|https://calcecomestilo.com/image/MKTPLACE/CAT/CAT-V1/bota-aventura-cat-789_2.jpg;;0;NÃO;NOVO;NÃO;;;;Metros;0,00;0,0000;0,0000;0,0000;;;
;CAT-V1-V-C-Preto-T41;"Cor:Preto;Tamanho:41;Gênero:Masculino";UN;6405.10.10;0;199,99;0,00;;Ativo;500;199,99;;;;0,00;0,00;1;1;;;19;16;;;;;1,00;Produto;Própria;;;;Grupo:MDK-CAT;0,00;CAT-V1;0;;Calce Com Estilo;;1;Descição com acentos ;3;https://calcecomestilo.com/image/MKTPLACE/CAT/CAT-V1/bota-aventura-cat-789_1.jpg|https://calcecomestilo.com/image/MKTPLACE/CAT/CAT-V1/bota-aventura-cat-789_3.jpg|https://calcecomestilo.com/image/MKTPLACE/CAT/CAT-V1/bota-aventura-cat-789_2.jpg;;0;NÃO;NOVO;NÃO;;;;Metros;0,00;0,0000;0,0000;0,0000;;;
;CAT-V1-V-C-Preto-T42;"Cor:Preto;Tamanho:42;Gênero:Masculino";UN;6405.10.10;0;199,99;0,00;;Ativo;500;199,99;;;;0,00;0,00;1;1;;;19;16;;;;;1,00;Produto;Própria;;;;Grupo:MDK-CAT;0,00;CAT-V1;0;;Calce Com Estilo;;1;Descição com acentos ;3;https://calcecomestilo.com/image/MKTPLACE/CAT/CAT-V1/bota-aventura-cat-789_1.jpg|https://calcecomestilo.com/image/MKTPLACE/CAT/CAT-V1/bota-aventura-cat-789_3.jpg|https://calcecomestilo.com/image/MKTPLACE/CAT/CAT-V1/bota-aventura-cat-789_2.jpg;;0;NÃO;NOVO;NÃO;;;;Metros;0,00;0,0000;0,0000;0,0000;;;
;CAT-V1-V-C-Preto-T43;"Cor:Preto;Tamanho:43;Gênero:Masculino";UN;6405.10.10;0;199,99;0,00;;Ativo;500;199,99;;;;0,00;0,00;1;1;;;19;16;;;;;1,00;Produto;Própria;;;;Grupo:MDK-CAT;0,00;CAT-V1;0;;Calce Com Estilo;;1;Descição com acentos ;3;https://calcecomestilo.com/image/MKTPLACE/CAT/CAT-V1/bota-aventura-cat-789_1.jpg|https://calcecomestilo.com/image/MKTPLACE/CAT/CAT-V1/bota-aventura-cat-789_3.jpg|https://calcecomestilo.com/image/MKTPLACE/CAT/CAT-V1/bota-aventura-cat-789_2.jpg;;0;NÃO;NOVO;NÃO;;;;Metros;0,00;0,0000;0,0000;0,0000;;;
;CAT-V1-V-C-Preto-T44;"Cor:Preto;Tamanho:44;Gênero:Masculino";UN;6405.10.10;0;199,99;0,00;;Ativo;500;199,99;;;;0,00;0,00;1;1;;;19;16;;;;;1,00;Produto;Própria;;;;Grupo:MDK-CAT;0,00;CAT-V1;0;;Calce Com Estilo;;1;Descição com acentos ;3;https://calcecomestilo.com/image/MKTPLACE/CAT/CAT-V1/bota-aventura-cat-789_1.jpg|https://calcecomestilo.com/image/MKTPLACE/CAT/CAT-V1/bota-aventura-cat-789_3.jpg|https://calcecomestilo.com/image/MKTPLACE/CAT/CAT-V1/bota-aventura-cat-789_2.jpg;;0;NÃO;NOVO;NÃO;;;;Metros;0,00;0,0000;0,0000;0,0000;;;
;CAT-V1-V-C-Azul-T37;"Cor:Azul;Tamanho:37;Gênero:Masculino";UN;6405.10.10;0;199,99;0,00;;Ativo;500;199,99;;;;0,00;0,00;1;1;;;19;16;;;;;1,00;Produto;Própria;;;;Grupo:MDK-CAT;0,00;CAT-V1;0;;Calce Com Estilo;;1;Descição com acentos ;3;https://calcecomestilo.com/image/MKTPLACE/CAT/CAT-V1/bota-aventura-cat-789_7.jpg|https://calcecomestilo.com/image/MKTPLACE/CAT/CAT-V1/bota-aventura-cat-789_8.jpg|https://calcecomestilo.com/image/MKTPLACE/CAT/CAT-V1/bota-aventura-cat-789_10.jpg;;0;NÃO;NOVO;NÃO;;;;Metros;0,00;0,0000;0,0000;0,0000;;;
